rank,corpus_lemma,count,per_million,source_id
403,аа́ны·жь-ра,3355,311.1,SRC-010
404,да́д,3340,309.8,SRC-010
405,а-ҩна́·ла-ра,3334,309.2,SRC-010
406,а-пое́т,3327,308.5,SRC-010
407,а-ҵ-ра́,3325,308.4,SRC-010
408,а-ҟазшьа́,3313,307.2,SRC-010
409,а́-ҧшӡа,3305,306.5,SRC-010
410,а́аӡа-ра,3293,305.4,SRC-010
411,а-хәы́цра,3279,304.1,SRC-010
412,а-ны́ҟәа-ра,3277,303.9,SRC-010
413,а-зи́н,3250,301.4,SRC-010
414,а-иа-ра́,3229,299.5,SRC-010
415,а-ча́ра,3228,299.4,SRC-010
416,а-хы́·х-ра,3221,298.7,SRC-010
417,а́и·ҿ·каа-ра,3219,298.5,SRC-010
418,а́-урыс,3216,298.3,SRC-010
419,а́-ҳаҭыр,3215,298.2,SRC-010
420,а-ҟәа́,3212,297.9,SRC-010
421,а́а,3208,297.5,SRC-010
422,а-бзи́ара,3206,297.3,SRC-010
423,а-зы́·ӡырҩ-ра,3198,296.6,SRC-010
424,а́-маҭәа,3188,295.7,SRC-010
425,а-з·аа́·га-ра,3187,295.6,SRC-010
426,а́-р:хәа-ра,3187,295.6,SRC-010
427,а-зы·р:у-ра́,3183,295.2,SRC-010
428,а-ҿа·ҧш-ра́,3182,295.1,SRC-010
429,а́-цқьа,3178,294.7,SRC-010
430,а́-р:ҳәа-ра,3165,293.5,SRC-010
431,ҳа́,3159,293.0,SRC-010
432,а-бааҧсы́,3152,292.3,SRC-010
433,а-хәҭа-заа-ра́,3150,292.1,SRC-010
434,а́-ҵа-заа-ра,3148,291.9,SRC-010
435,а́и·ҳәа-ра,3146,291.8,SRC-010
436,а́-лаша-ра,3143,291.5,SRC-010
437,а́-ца,3136,290.8,SRC-010
438,а́-бжьа-ра,3134,290.6,SRC-010
439,а́аҧш-ра,3134,290.6,SRC-010
440,а́-ҩ,3133,290.6,SRC-010
441,а-ҭахы́,3132,290.5,SRC-010
442,а́-ҧа-ра,3124,289.7,SRC-010
443,а-ҳәынҭқа́рратә,3123,289.6,SRC-010
444,а́-ҳәара,3098,287.3,SRC-010
445,а́-ҵ·х-ра,3097,287.2,SRC-010
446,а·к-ра́,3096,287.1,SRC-010
447,уаха́,3092,286.8,SRC-010
448,а́-жә,3089,286.5,SRC-010
449,а-ҭа·к-ра́,3084,286.0,SRC-010
450,а-ҳә-ра́,3083,285.9,SRC-010
451,а-ҟәы́·ҵ-ра,3076,285.3,SRC-010
452,а-гәа́·хә-ра,3071,284.8,SRC-010
453,цқьа́,3069,284.6,SRC-010
454,а-хаҿы́,3068,284.5,SRC-010
455,а-ҟы́нтәи,3060,283.8,SRC-010
456,а-саа́ҭ,3056,283.4,SRC-010
457,а́-лашара,3053,283.1,SRC-010
458,а-ҧсаба́ра,3052,283.0,SRC-010
459,а́-қә·тәа-ра,3036,281.6,SRC-010
460,а́-ҭаҳмада,3032,281.2,SRC-010
461,аахы́с,3028,280.8,SRC-010
462,есна́гь,3022,280.3,SRC-010
463,а́ан·гыла-ра,3019,280.0,SRC-010
464,а́-шьыжь,2989,277.2,SRC-010
465,а́ҵкыс,2989,277.2,SRC-010
466,а-дәы́,2986,276.9,SRC-010
467,а-ҳәынҭқа́р,2977,276.1,SRC-010
468,а́-қәы·р:гыла-ра,2966,275.1,SRC-010
469,а-бзи́абара,2951,273.7,SRC-010
470,маҷк,2950,273.6,SRC-010
471,а́-ҵа·на·к-ра,2930,271.7,SRC-010
472,а-са́хьа,2915,270.3,SRC-010
473,а-ҵәу́а-ра,2911,270.0,SRC-010
474,а-кы́,2902,269.1,SRC-010
475,а-қә-ра́,2883,267.4,SRC-010
476,Аҧсныпресс,2878,266.9,SRC-010
477,а-был-ра́,2873,266.4,SRC-010
478,а́а·гыла-ра,2870,266.2,SRC-010
479,а-х·ҟьа-ра́,2859,265.1,SRC-010
480,а-цхы́раара,2837,263.1,SRC-010
481,а-ҧхӡы́,2826,262.1,SRC-010
482,а-гәы́рҕьа-ра,2819,261.4,SRC-010
483,ма́мзаргьы,2819,261.4,SRC-010
484,а-хы́с-ра,2817,261.2,SRC-010
485,абду́,2813,260.9,SRC-010
486,а́аҭ·гыла-ра,2803,260.0,SRC-010
487,а-сто́л,2798,259.5,SRC-010
488,а́жә,2796,259.3,SRC-010
489,на́н,2796,259.3,SRC-010
490,а́-л·баа-ра,2788,258.6,SRC-010
491,а́-ццак-ра,2782,258.0,SRC-010
492,а́-цәа-заа-ра,2769,256.8,SRC-010
493,а́-насыҧ,2763,256.2,SRC-010
494,а-ҧ·ҵәа-ра́,2762,256.1,SRC-010
495,а-ҧса-ра́,2761,256.1,SRC-010
496,дызу́сҭа,2760,256.0,SRC-010
497,аҧ·ҵа-ра́,2759,255.9,SRC-010
498,а́и·у-ра,2736,253.7,SRC-010
499,а·р:к-ра́,2731,253.3,SRC-010
500,а-шәҟәыҩҩы́,2729,253.1,SRC-010
501,а-раио́н,2728,253.0,SRC-010
502,а́-л·с-ра,2725,252.7,SRC-010
503,а-ҧша́,2719,252.2,SRC-010
504,а-н·ҵәа-ра́,2715,251.8,SRC-010
505,а-хшы́ҩ,2712,251.5,SRC-010
506,а́-рахә,2710,251.3,SRC-010
507,а-ҳәаа́,2695,249.9,SRC-010
508,а́и·цәажәа-ра,2694,249.8,SRC-010
509,ашьа́,2693,249.7,SRC-010
510,заҵәы́к,2688,249.3,SRC-010
511,а́-лахь,2686,249.1,SRC-010
512,а-р:х-ра́,2676,248.2,SRC-010
513,заҟа́,2670,247.6,SRC-010
514,а-мила́ҭ,2669,247.5,SRC-010
515,аи́у-ра,2664,247.1,SRC-010
516,уба́рҭ,2650,245.8,SRC-010
517,а́-қә·гәыҕ-ра,2640,244.8,SRC-010
518,а-ча-ра́,2628,243.7,SRC-010
519,ау́ха,2624,243.3,SRC-010
520,а́-з,2616,242.6,SRC-010
521,а-хә-ра́,2610,242.1,SRC-010
522,а́-лаҕырӡ,2610,242.1,SRC-010
523,а-ҧҳәы́зба,2607,241.8,SRC-010
524,а́-хаа,2602,241.3,SRC-010
525,а́и·қә·шәа-ра,2600,241.1,SRC-010
526,а-гәҭа́,2595,240.7,SRC-010
527,а-хьы́,2591,240.3,SRC-010
528,а-ҭы́·х-ра,2586,239.8,SRC-010
529,џьоукы́,2580,239.3,SRC-010
530,а-з·иа-ра́,2575,238.8,SRC-010
531,а-ха-ра́,2573,238.6,SRC-010
532,а-ҧсы́хәа,2573,238.6,SRC-010
533,аиҳабы́ра,2572,238.5,SRC-010
534,а́иқәаҵәа,2568,238.2,SRC-010
535,уаҵәы́,2563,237.7,SRC-010
536,изакәы́зеи,2551,236.6,SRC-010
537,а́-ҧара,2548,236.3,SRC-010
538,а́-жәла,2547,236.2,SRC-010
539,а-ҧара́,2546,236.1,SRC-010
540,а́-цҳа,2535,235.1,SRC-010
541,уба́сҟан,2526,234.3,SRC-010
542,а-ҭаацәа́,2524,234.1,SRC-010
543,а-ҧхы́ӡ,2522,233.9,SRC-010
544,а-хы́=а-ҿы́,2516,233.3,SRC-010
545,а́-д·гыла-заа-ра,2510,232.8,SRC-010
546,ҩба́,2507,232.5,SRC-010
547,а-иа́аира,2503,232.1,SRC-010
548,а-хәҭа́,2501,231.9,SRC-010
549,ба́ша,2501,231.9,SRC-010
550,а-ҵы́хәа,2500,231.8,SRC-010
551,а-дау́,2482,230.2,SRC-010
552,а́игәырҕьа-ра,2479,229.9,SRC-010
553,а́-мза,2478,229.8,SRC-010
554,а-ду́ӡӡа,2465,228.6,SRC-010
555,а-литерату́ра,2463,228.4,SRC-010
556,а-хы-заа-ра́,2458,228.0,SRC-010
557,а́-ӡ,2458,228.0,SRC-010
558,а-га́-заа-ра,2455,227.7,SRC-010
559,а́-ҭи-ра,2454,227.6,SRC-010
560,а-ҽ-ра́,2453,227.5,SRC-010
